902;Opteva 522;АО "Казтелерадио";г. Алматы, ул. Аль-Фараби, д.118А;Сектор А
1017;Cashway pilot;ЦБО №7 (134010);пр. Абая 127/99А;Сектор В
1026;Cashway pilot;ЦПС №23 (134026);ул. Жандосова, 25;Сектор В
1141;Cashway pilot;отделение №131435;Туркебаева 92;Сектор С
1223;Cashway pilot;отделение №131424;ул. Толе би, 159, уг. ул. Исаева;Сектор С
1420;Opteva 562;Аптека Pharmaplus;г.Алматы, ул.Ауэзова, 65;Сектор B
1755;Opteva 562;АО"Казахфильм" имени Шакена Айманова;пр. Аль-Фараби, 176;Сектор A
2446;Cashway pilot;ЦПС 10;Розыбакиева 247А, ТРК "Мега Центр";Сектор А
13001;Diebold Nixdorf C2560 (межстенный);отделение №131505;Казахфильм 14;Сектор А
13002;GRG H68VL;ТРЦ "Глобус", цоколь;пр. Абая, 109 "в";Сектор В
13006;NCR-6634 cash-in;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13020;Diebold Nixdorf C2560 (межстенный);ЦПС №62 (131501);г. Алматы, пр. Гагарина 167, отделение №131501;Сектор А
13021;GRG H68VL;БЦ «Esentai Mall»;Алматы пр. Аль-Фараби 77/8;Сектор А
13023;GRG H68VL;Ялян;ул. Северное кольцо, 9;Сектор С
13025;NCR-6622;Центральный офис АлмаТВ;ул.Айтиева, 23;Сектор В
13026;GRG H68VL;Супермаркет "Magnum";г. Алматы, ул. Радостовца, 292 (в зоне самообслуживания);Сектор A
13028;GRG H68VL;TOI Mart;Розыбакиева №4;Сектор С
13031;WN ProCash 2150xe USB;отделение №131424;Толе би 159;Сектор С
13032;GRG H68VL;рынок Байсат;ул. Северное кольцо, 7;Сектор С
13034;NCR-6626;магазин Келеке;ул. Розыбакиева, 153а;Сектор А
13038;Diebold Nixdorf C2560 (межстенный);отделение №131422;ул.Жандосова,47, уг. Садовникова;Сектор A
13043;GRG H68VL;TOI Mart;Розыбакиева №4;Сектор С
13046;GRG H68VL;рынок Байсат;ул. Северное кольцо, 7;Сектор С
13047;WN ProCash 2150хе;отделение №131509;м-н Коктем-2, 1;Сектор А
13052;NCR-6626;Отделение №131861 ул. Гоголя, 144/99, уг. ул. Муратбаева;ул.Гоголя,144/99;Сектор С
13059;Diebold Nixdorf C2560 (межстенный);отделение №131505;Казахфильм 14;Сектор А
13060;WN ProCash 2150хе;АОФ АО "Народный Банк Казахстана";ул.Розыбакиева 101;Сектор В
13062;NCR-6634 cash-in;отделение №131827;Байтурсынова 72;Сектор В
13066;NCR-6622;Медицинский университет;ул. Богенбай батыра, 151;Сектор B
13072;Diebold Nixdorf C2560 (межстенный);ЦПС №15 (134001);ул.Розыбакиева,281, ниже Аль-Фараби;Сектор А
13074;WN ProCash 2000xe;ТОО "Темирбетон";ул. Бокейханова, 11;Сектор С
13080;NCR-6626;отделение №131861;ул. Гоголя, 144, уг. ул. Муратбаева;Сектор С
13082;NCR-6626;отделение №131861;ул. Гоголя, 144, уг. ул. Муратбаева;Сектор С
13088;GRG H68VL;супермаркет "SMALL";ул. Жамбыла, 205;Сектор B
13089;NCR-6632;рынок Сауран;пр. Рыскулова, 103;Сектор С
13096;Diebold Nixdorf C2560 (межстенный);ЦПС №10;г.Алматы, ул. Розыбакиева,247 а;Сектор А
13098;WN ProCash 2150хе;отделение №131509;м-н Коктем-2, 1;Сектор А
13101;NCR-6622;КазГУ, в здание магнум дайли;пр. Аль-Фараби, 71/21;Сектор А
13103;Diebold Nixdorf C2560 (межстенный);ЦПС №62 (131501);г. Алматы, пр. Гагарина 167, отделение №131501;Сектор А
13106;NCR-6626;отделение №131599;м-н Алмагуль 44;Сектор А
13109;DN200;Политех главный корпус со стороны ул. Байтурсынова;ул. Сатпаева, 22;Сектор В
13112;GRG H68VL;ТД "Алатау-2";г.Алматы, ул. Северное кольцо, 23;Сектор С
13116;GRG H68VL;ЦПС №6 (131530);ул. Абая 109В;Сектор В
13117;NCR-6622;супермаркет Магнум;мкр. Казахфильм, 17;Сектор А
13118;NCR-6634 cash-in;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13123;NCR 6626;Магазин "Строймарт";пр. Гагарина, 244 "а";Сектор А
13128;ProCash 2050;магазин "Асия";мкр. Ерменсай, ул. Жангир хана, 101;Сектор А
13133;Procash 2050;Аптека Низких цен;мкр.Казахфильм, ул. Мамыр, 1/ Исиналиева, 1/1;Сектор А
13135;ProCash 2050;Kegoc;ул. Шевченко, 162/7;Сектор В
13146;WN ProCash 2050xe;Алматы Су;ул. Жарокова, 196;Сектор А
13152;GRG H68VL;ТК Акбаулак 3;мкр.Заря-Восток, ул.Головацкого 41;Сектор С
13156;NCR-6626;отделение №131599;Алмагуль 44;Сектор А
13165;WN ProCash 2150xe;отделение №131422;ул.Жандосова,47, уг. Садовникова;Сектор A
13167;WN ProCash 2150хе;отделение №131424;Толе би 159;Сектор С
13172;WN ProCash 2150хе;отделение №131509;м-н Коктем-2, 1;Сектор А
13184;GRG H68VL;Магнум;ул. Муратбаева, 63;Сектор С
13188;Diebold Nixdorf C4060;ТЦ "Акбулак 3" возле Евразии;Северное кольцо, 12;Сектор С
13193;GRG H68VL;отделение №131435;ул. Туркебаева, 92;Сектор C
13196;GRG H68VL;ТРК "MAXIMA";Райымбека 239Г;Сектор С
13200;GRG H68VL;отделение №131435;Туркебаева 92;Сектор С
13201;GRG H68VL;отделение №131435;Туркебаева 92;Сектор С
13204;GRG H68VL;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13207;GRG H68VL;отделение №131435;Туркебаева 92;Сектор С
13212;NCR-6626;БЦ ТОО "Гимарат Сервис";Карасай батыра 98;Сектор B
13215;GRG H68VL;отделение №131422, ЦПС 35;ул.Жандосова,47, уг. Садовникова;Сектор A
13224;WN ProCash 2150xe;QazaqGaz Aimaq;пр. Т. Рыскулова, 99;Сектор С
13225;GRG H68VL;ТРЦ "Максима";пр. Райымбека, 239а;Сектор C
13227;Diebold Nixdorf C2560 (межстенный);АОФ АО "Народный Банк Казахстана";Розыбакиева 101;Сектор В
13229;WN ProCash 2150хе;отделение №131827;Байтурсынова 72;Сектор В
13253;GRG H68VL;ЦПС №23 (134026);г.Алматы, ул.Жандосова, д.25;Сектор В
13255;NCR-6622;стройрынок Саламат;ул. Розыбакиева, 72а;Сектор В
13261;NCR 6626;Международный институт информационных технологий;ул. Манаса, 34/1;Сектор В
13265;NCR-6622;СРК Баганашыл, Cofee Bar Zenit;ул. Санаторная, 14а;Сектор А
13266;NCR 6626;отделение №131505;Казахфильм 14;Сектор А
13269;GRG H68VL;Супермаркет Small;г. Алматы, ул. Ади Шарипова, 63а;Сектор С
13271;NCR 6628;Манхэттен;Прокофьева 140;Сектор С
13272;NCR-6632cash-in;Глобус, отделение Алтын банк;Абая 109В;Сектор В
13273;NCR-6634 cash-in;ТД "АРЕНА" Межстенный АТМ.;г.Алматы пр.Абая д.141;Сектор В
13274;NCR-6632cash-in;Отель "Рахат-Палас";ул. Сатпаева, 29/6;Сектор В
13275;NCR-6632 cash-in;Детская инфекционная больница;ул. Байзакова, 299А;Сектор A
13276;NCR-6634 cash-in;АОФ АО "Народный Банк Казахстана";ул. Розыбакиева, 101, уг. ул. Сатпаева;Сектор В
13298;Diebold Nixdorf C4060;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13301;Diebold Nixdorf C4060;Avtodom;ул. Сатпаева, 90/22;Сектор В
13303;Diebold Nixdorf C4060;отделение №131861;ул. Гоголя, 144, уг. ул. Муратбаева;Сектор C
13317;DN200;ЦПС №23 (134026);ул. Жандосова, 25;Сектор В
13321;NCR 6628;АЗС Баганашыл;ул. Сыргабекова, 1 Д;Сектор А
13330;Diebold Nixdorf C4060;ТД "Рамстор", Атакент, 1-й этаж;ул. Тимирязева, 42;Сектор A
13332;Diebold Nixdorf C4060;ТД Алатау;пр. Рыскулова, 103/3;Сектор С
13333;Cashway pilot;ЦПС №6 (131530);ул. Абая 109В;Сектор В
13334;Diebold Nixdorf C4060;ТРЦ "Атакент Mall" Студент;г. Алматы, ул.Тимирязева, 42;Сектор А
13335;Diebold Nixdorf C2560 (межстенный);ЦПС №10;г.Алматы, ул. Розыбакиева,247 а;Сектор A
13337;Diebold Nixdorf C4060;ТД "Alma city";ул. Северное кольцо, 19;Сектор С
13341;Diebold Nixdorf C4060;БЦ "Волков-Геология";ул. Богенбай батыра, 168;Сектор B
13343;Diebold Nixdorf C4060;Центральная больница №12;ул. Жандосова, 6;Сектор B
13348;Diebold Nixdorf C4060;«Рахат Тауэрс»;Байзакова 280;Сектор В
13349;GRG H68VL;ТД "Магнум";ул. Розыбакиева 70;Сектор В
13353;Diebold Nixdorf C4060;рынок Рахат;ул. Северное кольцо, 15;Сектор C
13356;GRG H48VD;ТД "Коктем", вдоль Весновки;мкр. Коктем-1, д.20;Сектор A
13357;Diebold Nixdorf C4060;Казгипронефтетранс;пр. Райымбека, 160;Сектор С
13358;Diebold Nixdorf C4060;г.Алматы, ул.Байзакова, 303;ХАБА ООН;Сектор А
13360;Diebold Nixdorf C4060;БЦ Promenade Business Park;пр. Абая, 44а;Сектор В
13384;Diebold Nixdorf C4060;Супермаркет Orange;ул. Байтурсынова, 179к6;Сектор А
13388;Diebold Nixdorf C4060;ГБ АГФ, концелярия;г. Алматы, пр. Гагарина, 135Ж, вход со стороны Гагарина;Сектор В
13390;Diebold Nixdorf C4060;Ulttyq marqet;ул. Утепова, 31;Сектор А
13391;Diebold Nixdorf C4060;ТОО «RG Brands Kazakhstan»;г. Алматы, пр. Райымбека, 212Б;Сектор С
13394;Diebold Nixdorf C4060;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13395;Diebold Nixdorf C4060;ТРЦ "АДК";г.Алматы, ул.Сатпаева, д.90 (ближе к паркингу ближе к ул.Брусиловского);Сектор B
13411;Diebold Nixdorf C2560 (межстенный);отделение №131509;м-н Коктем-2, 1;Сектор А
13418;Diebold Nixdorf C4060;Национальный Банк РК, 2-ой подъезд, 2-ой этаж;м-н Коктем-3, 21;Сектор В
13420;Diebold Nixdorf C4060;ТД "Алатау-6";г.Алматы, ул. Северное кольцо, 50;Сектор C
13427;Diebold Nixdorf C2560 (межстенный);отделение №131599;Алмагуль, 44;Сектор А
13430;Diebold Nixdorf C4060;ТОО «Хозяйственное управление города Алматы»;г.Алматы, ул. Байзакова, 303;Сектор А
13431;Diebold Nixdorf C4060;Рамстор- Алмагуль;мкр. Алмагуль, д.18 "а";Сектор А
13434;Diebold Nixdorf C4060;ТЦ "Акбулак", за ТД Саяхат;ул. Северное кольцо, б/н;Сектор С
13436;Diebold Nixdorf C2590 (островной);ЦПС №23 (134026);ул. Жандосова, 25;Сектор В
13441;Diebold Nixdorf C2590 (островной);отделение №131520;Сатпаева 78;Сектор В
13444;GRG H48VD;Магазин "Технодом";ул. Жандосова, 34а;Сектор A
13447;Diebold Nixdorf C2590 (островной);Бизнес центр Каусар;ул.Толеби, 286/4;Сектор С
13451;Diebold Nixdorf C2560 (межстенный);отделение №131827;Байтурсынова 72;Сектор В
13452;DN200;Санаторий Koktem resort (Ремизовка);Аскартау микрорайон;Сектор А
13455;Diebold Nixdorf C4060;ТД "Магнум";ул. Толе би, 229;Сектор С
13457;Diebold Nixdorf C4060;супермаркет "Toimart";ул. Жандосова, 21;Сектор В
13465;Diebold Nixdorf C4060;ТОО "SinoOil";ул. Муратбаева, 147;Сектор С
13468;Diebold Nixdorf C2560 (межстенный);отделение №131424;ул. Толе би, 159, уг. ул. Исаева;Сектор С
13472;Diebold Nixdorf C2560 (межстенный);ТОО "Технодом";ул. Курмангазы, 178 "а";Сектор В
13473;Diebold Nixdorf C2590 (островной);ЦБО №7;г. Алматы, ул. Пр. Абая, 127/99А уг.Жарокова;Сектор В
13485;Diebold Nixdorf C2590 (островной);ЦПС №23 (134026);ул. Жандосова, 25;Сектор В
13486;Diebold Nixdorf C2590 (островной);ВДНХ;ул. Тимирязева, 40;Сектор А
13491;Diebold Nixdorf C2590 (островной);супермаркет Small;ул. Розыбакиева 75;Сектор В
13493;Diebold Nixdorf C2590 (островной);Coca Cola;г.Алматы,ул. Байзакова, 73, уг. ул. Гоголя 203;Сектор C
13510;GRG H48VD;ТД "City Center";ул.Толеби, 136;Сектор С
13518;GRG H48VD;РКО "Толе би";ул. Толе би, 101;Сектор С
13520;GRG H48VD;РКО "Толе Би";ул. Толе би, 101;Сектор С
13521;GRG H48VD;ТРК "City Centre";ул. Толеби, 136;Сектор С
13523;GRG H48VD;ТД Орион;ул. Ауэзова, 52;Сектор B
13524;GRG H48VD;Манхэттен;Прокофьева 140;Сектор С
13525;GRG H48VD;Академия Кайнар;Ул. Байзакова, 125/185;Сектор С
13528;GRG H48VD;Рынок Жулдыз(оптовка), первый вход напротив АЖК;Ул. Розыбакиева 33/1;Сектор С
13532;GRG H68V;отделение №131422;ул.Жандосова,47, уг. Садовникова;Сектор A
13535;GRG H68VL;ТД "Коктем";мкр. Коктем-1, д.20;Сектор А
13537;GRG H68VL;Национальный банк РК, 1-ый подъезд, 1-ый этаж;мкр. Коктем-3, д.21;Сектор В
13543;GRG H68V;магазин Дәстүр;г.Алматы,ул Северное кольцо,строение №8;Сектор С
13546;GRG H68V;Аптека "Мелисса";ул. Туркебаева, 92;Сектор С
13549;GRG H68VL;АО "Народный Банк Казахстана", мантоварка;Абая 109Б;Сектор В
13553;GRG H68VL;университет "AlmaU";ул. Розыбакиева, 227;Сектор А
13554;GRG H68VL;Мега 2 дальний паркинг;ул. Розыбакиева, 263, Мега Центр 2;Сектор А
13560;GRG H68VL;ЦПС №6 (131530);Абая 109В;Сектор В
13571;GRG H68VL;Строительный рынок;пр. Рыскулова, 103 "в";Сектор С
13574;GRG H68VL;ТД "Алатау 2";ул. Северное кольцо, 23;Сектор С
13582;GRG H68VL;отделение №131599;Алмагуль, 44;Сектор А
13583;GRG H68VL;Сулпак;ул. Толе би, 187;Сектор С
13584;GRG H68VL;ТРЦ "АДК";г.Алматы, ул.Сатпаева, д.90 (ближе к паркингу ближе к ул.Брусиловского);Сектор B
13585;GRG H68VL;ЦПС №23 (134026);г.Алматы, ул.Жандосова, д.25;Сектор В
13588;GRG H68VL;отделение №131509;м-н Коктем-2, 1;Сектор А
13593;GRG H68VL;ТЦ "Maxima";пр. Райымбека, 239 "г";Сектор С
13598;GRG H68VL;ТРЦ "АДК";г.Алматы, ул.Сатпаева, д.90 (ближе к паркингу ближе к ул.Брусиловского);Сектор B
13599;GRG H68VL;Мини маркет"Royal Diamond_;ул. Казыбек Тауасарулы, 56;Сектор А
13605;GRG H68VL;ЦПС №25 (134030);ул.Толе би, 101;Сектор С
13610;GRG H68VL;ЦПС №23 (134026);г.Алматы, ул.Жандосова, д.25;Сектор В
13615;GRG H68VL;БЦ "Алатау Гранд";Тимирязева 28В;Сектор А
13617;GRG H68VL;ЦПС 10;Розыбакиева 247А, ТРК "Мега Центр";Сектор А
13619;GRG H68VL;супермаркет "SMALL";ул. Мынбаева, 44;Сектор В
13620;GRG H68VL;TOO Magnum Cash&Carry;г.Алматы, ул.Радостовца д.292;Сектор А
13625;GRG H68VL;отделение №131827;Байтурсынова 72;Сектор В
13630;GRG H68VL;ЦБО №6;ул. Ауэзова, 175;Сектор А
13631;GRG H68VL;ЦБО №6;ул. Ауэзова, 175;Сектор А
13632;GRG H68VL;ЦБО №6;ул. Ауэзова, 175;Сектор А
13633;GRG H68VL;ЦБО №6;ул. Ауэзова, 175;Сектор А
13634;GRG H48VD;магазин «Раушан»;пр. Аль-Фараби, 110/19;Сектор А
13639;GRG H48VD;Магазин Zeta;Пр. Райымбека 225;Сектор С
13644;GRG H68VL;ЦПС 10;Розыбакиева 247А, ТРК "Мега Центр";Сектор А
13645;GRG H68VL;TOO Magnum Cash&Carry;г.Алматы, ул.Радостовца д.292;Сектор А
13646;GRG H68VL;супермаркет Магнум;ул. Радостовца, 292;Сектор А
13647;GRG H68VL;ЦБО №6;ул. Ауэзова, 175;Сектор А
13656;GRG H68VL;ЦПС №35 (131422);ул.Жандосова,47, уг. Садовникова;Сектор A
13658;GRG H68VL;ТРЦ "АДК";ул. Сатпаева, 90;Сектор В
13665;GRG H68VL;ТЦ «Тоймарт»;ул. Розыбакиева, 4;Сектор С
13669;GRG H68VL;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13672;GRG H68VL;ЦПС №4 (130079);г. Алматы, ул. Розыбакиева 101, ЦПС №4;Сектор В
13673;GRG H68VL;ЦПС №23 (134026);г. Алматы, ул. Жандосова, 25;Сектор В
13674;GRG H68VL;ТРК "Mega Center Alma-Ata - 2";г.Алматы, ул.Розыбакиева, 263 (мега 2 круглосуточная АТМ зона, 1-ый с левой стороны);Сектор A
13682;GRG H68VL;ТРЦ "Мега";ул. Розыбакиева, 247а;Сектор A
13685;GRG H68VL;ТРЦ "Глобус", цоколь;пр. Абая, 109 "в";Сектор В
13687;GRG H68VL;ТРЦ "Есентай Малл";пр. Аль-Фараби, 77/7;Сектор A
13688;GRG H68VL;ТРЦ «Esentai Mall»;Аль-Фараби, 77 БЦ «Esentai Mall»;Сектор A
13050001;АПП 2;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13050014;АПП 2;ЦПС №23 (134026);г.Алматы, ул.Жандосова, д.25;Сектор В
13050015;АПП 2;ЦПС №23 (134026);г.Алматы, ул.Жандосова, д.25;Сектор В
13050023;АПП 2;АОФ Юр. Отделение;г. Алматы, ул. Розыбакиева 101, Юр. отделение;Сектор В
13050028;АПП 2;ЦБО №6 (134005);г.Алматы, ул.Ауезова, д.175;Сектор A
13060005;АПП 2;ЦПС №25 (134030);ЦПС 25 г.Алматы, ул. Толе би, 101;Сектор С
13060008;АПП 2;ЦПС №4 (130079);г. Алматы, ул. Розыбакиева 101, ЦПС №4;Сектор В
13060014;АПП 2;ЦПС №25 (134030);Tole bi 101 Dulwich Br;Сектор С
13060016;АПП-2;ЦПС №44 (131599);Алмагуль, 44;Сектор А
13060025;АПП-2;ЦПС №6 (131530);ул. Абая 109В;Сектор В
13060029;АПП-2;ЦПС №44 (131599);Алмагуль, 44;Сектор А
13060032;АПП 2;ЦПС №6 (131530);ул. Абая 109В;Сектор В
13080003;БТС-3;ЦПС №39 (131435);ул. Васнецова, 27/92;Сектор С
13080004;БТС-3;ЦПС №39 (131435);ул. Васнецова, 27/92;Сектор С
13080005;БТС-3;ЦПС №41 (131509);м-н Коктем-2, 1;Сектор А
13080008;БТС-3;ЦПС №41 (131509);м-н Коктем-2, 1;Сектор А
13080009;БТС-3;ЦПС №4 (130079);г. Алматы, ул. Розыбакиева 101, ЦПС №4;Сектор В
13080010;БТС-3;ЦПС №48 (131827);г.Алматы, ул. Байтурсынова, 72 уг. Шевченко, РКО № 131827;Сектор В
13080018;БТС-3;АГФ Жандосова Гагарина, отделение 134026, вход со стороны Юр. отделения;ул.Гагарин көшесі, 135/8;Сектор В
13080020;БТС-3;ЦПС №56;Отделение №131861 ул. Гоголя, 144/99, уг. ул. Муратбаева;Сектор С
13080023;БТС-3;ЦПС №35 (131422);ул.Жандосова,47, уг. Садовникова;Сектор A
13080026;БТС-3;ЦПС №35 (131422);ул.Жандосова,47, уг. Садовникова;Сектор A
13080035;АПП-3;ЦБО №7 (134010);пр. Абая 127/99А;Сектор B
13080037;IqOffice;ЦПС №36;г.Алматы, ул. Толе би, 159 уг. Мирзояна, РКО № 131424;Сектор С
13080038;IqOffice;АОФ Юр. Отделение;г. Алматы, ул. Розыбакиева 101, Юр. отделение;Сектор В
13080041;IqOffice;ЦПС №36;г.Алматы, ул. Толе би, 159 уг. Мирзояна, РКО № 131424;Сектор С
13080050;БТС-3;ЦПС №39;ул. Васнецова, 27/92;Сектор С
13080059;БТС-3;РКО №131505;Казахфильм 14;Сектор A
13080062;АПП-3;ЦПС №10;г.Алматы, ул. Розыбакиева 247а, Мегацентр ЦПС10;Сектор А
13080064;АПП-3;ЦПС №10;г.Алматы, ул. Розыбакиева 247а, Мегацентр ЦПС10;Сектор А
13080070;АПП-3;Глобус, отделение Алтын банка;г.Алматы, пр. Абая, 109В;Сектор В
13080073;АПП-3;ЦПС №62 (131501);г. Алматы, пр. Гагарина 167, отделение №131501;Сектор A
13080077;АПП-3;ЦПС №26 (134032);г. Алматы, пр-кт Аль-Фараби, д. 77/7;Сектор A
13000;AdiAP;ЦПС №26 (134032);г. Сарсенов Бауржан д. 77/7;Сектор Г
130001;AdiAP;ЦПС №26 (134032);г. Сарсенкулов Бауржан д. 77/7;Сектор Г